AccountId,MatchToAccountId,MatchPercentage
0011J000017Pil2QAC,0011J00001EAfITQA1,0.91
0011J000017Pil2QAC,0011J00001EAfISQA1,0.964
0011J000017Pil2QAC,0011J00001EAfGoQAL,0.91
0011J000017Pil2QAC,0011J00001EAf93QAD,0.88
0011J000017Pil2QAC,0011J00001EAf6YQAT,0.91
0011J000017Pil2QAC,0011J00001EAf6XQAT,0.964
0011J000017Pil2QAC,0011J00001EAevZQAT,0.964
0011J000017Pil2QAC,0011J00001EAeu2QAD,0.964
0011J000017Pil2QAC,0011J00001EAeu1QAD,0.964
0011J000017Pil2QAC,0011J00001CxG43QAF,0.964
0011J000017Pil2QAC,0011J00001C6qlDQAR,0.964
0011J000017Pil2QAC,0011J00001EAfVUQA1,0.91
0011J000017Pil2QAC,0011J00001OXlsDQAT,0.91
0011J000017Pil2QAC,0011J00001ED0GzQAL,0.964
0011J000017Pil2QAC,0011J00001EAgeRQAT,0.88
0011J000017Pil2QAC,0011J00001OmqBzQAJ,0.88
0011J000017Pil2QAC,0011J00001Ik6Z4QAJ,0.934
0011J000017Pil2QAC,0011J00001IhUbhQAF,0.964
0011J000017Pil2QAC,0011J00001Hv3LfQAJ,0.964
0011J000017Pil2QAC,0011J00001ECxLDQA1,0.964
0011J000017Pil2QAC,0011J00001EAnXBQA1,0.88
0011J000017Pil2QAC,0011J00001EAh8tQAD,0.91
0011J000017Pil2QAC,0011J00001EAgAjQAL,0.88
0011J000017Pil2QAC,0011J00001OnGAaQAN,0.91
0011J000017Pil2QAC,0013c000020v9HnAAI,0.91
0011J000017Pil2QAC,0013c00001zrcoAAAQ,0.934
0011J000017Pil2QAC,0013c00001zDD7gAAG,0.8919999999999999
0011J000017Pil2QAC,0013c00001yfapzAAA,0.964
0011J000017Pil2QAC,0013c00001yfUDjAAM,0.8919999999999999
0011J000017Pil2QAC,0013c00001xkjvSAAQ,0.934
0011J000017Pil2QAC,0013c00001ub1AEAAY,0.88
0011J000017Pil2QAC,0013c00001sQcOwAAK,0.8919999999999999
0011J000017Pil2QAC,0013c00001sMqOmAAK,0.964
0011J000017Pil2QAC,0011J00001OmwykQAB,0.91
0011J000017PR68QAG,001Nq00000XBwDpIAL,1
0011J000017PqGfQAK,001Nq00000XC7yLIAT,1
0011J000017PqGfQAK,001Nq00000XBwDtIAL,1
0011J000017PWhEQAW,001Nq00000XBwDrIAL,1
0011J000017Pil2QAC,0013c000020y2X6AAI,0.91
0011J000017Pil2QAC,0013c000020vVMyAAM,0.88
0011J000017Pil2QAC,0013c000020vKItAAM,0.964
0011J000017Pil2QAC,0013c000020vDFFAA2,0.91
0011J000017Pil2QAC,0013c000020vAJ6AAM,0.91
0011J000017Pil2QAC,0013c000020v9oAAAQ,0.964
0011J000017Pil2QAC,0013c000020v9aBAAQ,0.88
0011J000017PPyrQAG,001Nq00000XCNlpIAH,1
0011J000017PqstQAC,001Nq00000XBwDvIAL,1
0011J000017PrjdQAC,001Nq00000XBwDwIAL,1
0011J000017PqsAQAS,001Nq00000XBwDuIAL,1
0011J000017PcdCQAS,001Nq00000XBwDsIAL,1
0011J000017Pil2QAC,0013c000020yt1eAAA,0.88
0011J000017PqGfQAK,001o0000016j5W6AAI,1
0011J000017PqGfQAK,001o000000vVp2wAAC,1
0011J000017PqGfQAK,001o000000vIfI1AAK,1
0011J000017PqGfQAK,001Nq00000XCSs5IAH,1
0011J000017PqGfQAK,001Nq00000XCJXjIAP,1
0011J000017QAKYQA4,0011J00001OYkSNQA1,1
0011J000017Pil2QAC,001Nq00000XCNmDIAX,0.964
0011J000017Pil2QAC,001Nq00000XCNlqIAH,1
0011J000017Pil2QAC,001Nq00000XCAFzIAP,0.91
0011J000017Pil2QAC,001Nq00000XCAFBIA5,0.91
0011J000017Pil2QAC,001Nq00000XC7naIAD,0.934
0011J000017Pil2QAC,001Nq00000XBzqzIAD,0.934
0011J000017Pil2QAC,001Nq00000XBzqwIAD,0.964
0011J000017Pil2QAC,001Nq00000XBzqrIAD,0.964
0011J000017Pil2QAC,001Nq00000XBwxDIAT,0.964
0011J000017PMdcQAG,001Nq00000XBwDoIAL,1
0011J000017Pil2QAC,001Nq00000XCNmxIAH,0.91
0011J000017Pil2QAC,001Nq00000XCNmwIAH,0.91
0011J000017Pil2QAC,001Nq00000XCNmvIAH,0.964
